GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000148143.8,128.497111,-2.353427614,0.420847273,-5.592118012,2.24E-08,5.68E-06
ENSG00000156269.4,75.37782729,-2.376999347,0.424830054,-5.595176996,2.20E-08,5.68E-06
ENSG00000161249.16,1025.859073,-2.062517442,0.370892422,-5.560958701,2.68E-08,6.70E-06
ENSG00000147202.13,2774.598047,1.658002942,0.298978513,5.545558855,2.93E-08,7.22E-06
ENSG00000164011.13,52.49242082,-2.283094681,0.411947815,-5.542193938,2.99E-08,7.26E-06
ENSG00000137642.8,5518.441687,1.671828628,0.304265695,5.494633985,3.92E-08,9.40E-06
ENSG00000198744.5,681.741812,1.968176036,0.358724932,5.486588361,4.10E-08,9.71E-06
ENSG00000112541.9,644.9000324,1.937390502,0.353606871,5.478939081,4.28E-08,1.00E-05
ENSG00000166801.11,525.126435,1.903952783,0.350111385,5.438134438,5.38E-08,1.24E-05
ENSG00000189057.6,52.84366356,-2.233255597,0.412730779,-5.410925736,6.27E-08,1.43E-05
ENSG00000187569.2,605.3031026,-1.860394954,0.344494155,-5.400367259,6.65E-08,1.50E-05
ENSG00000186470.9,439.5594071,1.95326733,0.362523126,5.387979931,7.13E-08,1.59E-05
ENSG00000197320.4,138.1947834,-2.238280905,0.417100677,-5.366284518,8.04E-08,1.77E-05
ENSG00000067113.12,1132.410453,1.697841643,0.316873465,5.358106097,8.41E-08,1.83E-05
ENSG00000115267.5,1377.447306,1.789721979,0.337164597,5.308155107,1.11E-07,2.38E-05
ENSG00000168743.8,536.6527273,1.906310793,0.359819073,5.297970388,1.17E-07,2.49E-05
ENSG00000146409.6,131.3314656,-2.212218334,0.418460001,-5.286570585,1.25E-07,2.56E-05
ENSG00000155926.9,63.57404637,-2.225616433,0.420961563,-5.286982532,1.24E-07,2.56E-05
ENSG00000204217.8,13189.41534,1.485616009,0.280827543,5.290136398,1.22E-07,2.56E-05
ENSG00000151914.13,13594.94186,1.592624745,0.302530465,5.264345007,1.41E-07,2.86E-05
ENSG00000107819.9,1099.757261,1.75621431,0.334642327,5.248034003,1.54E-07,3.10E-05
ENSG00000115353.6,340.5068152,1.993631683,0.381312286,5.228343686,1.71E-07,3.37E-05
ENSG00000117411.12,166.8771467,-2.226557988,0.42584234,-5.228597017,1.71E-07,3.37E-05
ENSG00000106780.7,1723.336854,1.602287898,0.307091041,5.217631522,1.81E-07,3.53E-05
ENSG00000131981.11,173.7070581,-2.118238189,0.40737019,-5.19978693,2.00E-07,3.85E-05
ENSG00000183010.12,1515.979926,-1.61213183,0.311053818,-5.18280675,2.19E-07,4.18E-05
ENSG00000128567.12,188.3034958,-2.192228884,0.423195014,-5.180185994,2.22E-07,4.19E-05
ENSG00000166750.5,49.12687413,-2.120193394,0.409434874,-5.178340998,2.24E-07,4.19E-05
ENSG00000163131.6,548.5368246,1.938564846,0.376563851,5.148037554,2.63E-07,4.88E-05
ENSG00000257315.1,24784.79994,1.429257502,0.278116103,5.139067771,2.76E-07,5.07E-05
ENSG00000119917.9,727.4697072,1.790329142,0.348743735,5.133652489,2.84E-07,5.17E-05
ENSG00000144452.10,7497.310507,1.451570433,0.282998699,5.129247723,2.91E-07,5.19E-05
ENSG00000162409.6,1867.232795,1.549900217,0.302068673,5.130953172,2.88E-07,5.19E-05
ENSG00000198840.2,4317.557698,1.507869183,0.294118699,5.126736892,2.95E-07,5.21E-05
ENSG00000244280.1,1515.79651,1.744138171,0.342063549,5.098871756,3.42E-07,5.98E-05
ENSG00000164342.8,1659.08573,1.629099119,0.320386343,5.08479577,3.68E-07,6.38E-05
ENSG00000229089.2,346.1116831,1.994466241,0.392803788,5.077512752,3.82E-07,6.57E-05
ENSG00000145730.16,21936.80237,1.523840548,0.300315718,5.074128521,3.89E-07,6.63E-05
ENSG00000183091.15,10113.0625,1.701510011,0.337712588,5.038337548,4.70E-07,7.92E-05
ENSG00000103876.7,1712.104854,-1.569658387,0.312673422,-5.020120922,5.16E-07,8.63E-05
ENSG00000163814.3,1612.244829,1.676116324,0.334038646,5.017731759,5.23E-07,8.66E-05
ENSG00000129003.11,21391.92725,1.385580024,0.27861841,4.973038294,6.59E-07,0.000108263
ENSG00000111816.6,8074.220246,1.534923764,0.309658499,4.956827498,7.17E-07,0.000116671
ENSG00000133710.11,234.078194,1.952538443,0.394534639,4.948965815,7.46E-07,0.000120435
ENSG00000188176.7,879.212221,-1.641174707,0.332109969,-4.941660473,7.75E-07,0.000123969
ENSG00000150165.13,1633.859044,-1.533526965,0.311411876,-4.924433142,8.46E-07,0.000134257
ENSG00000139973.11,379.1073711,1.842927237,0.378995149,4.862667092,1.16E-06,0.000182238
ENSG00000171402.10,1773.46985,-1.467842574,0.3026449,-4.850048932,1.23E-06,0.000192604
