locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
3:48636434-48648409,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,69.9137,69.347,-0.0117411,-0.0148851,0.9741,0.999983,no
7:38217823-38270272,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,19.0464,21.3258,0.163083,0.235072,0.5678,0.999983,no
12:6308880-6347425,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,114.919,130.272,0.180908,0.285222,0.47965,0.999983,no
3:42734154-42846023,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.27767,23.0846,1.66539,0.696113,0.0606,0.9445,no
12:6601149-6641121,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.18856,5.59862,-0.144534,-0.0423016,0.88155,0.999983,no
12:6647540-6665239,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,5.82932,7.61503,0.385522,0.510388,0.2366,0.999983,no
19:46171501-46186982,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.197999,0.30618,0.62889,0.363588,0.17375,0.999983,no
3:52444672-52457657,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,4.38674,4.3437,-0.0142223,-0.0113174,0.9788,0.999983,no
3:52467068-52479101,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.53368,7.11894,-0.0816917,-0.0818197,0.7806,0.999983,no
3:52489133-52527087,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,25.5968,33.0468,0.36855,0.446476,0.1546,0.999983,no
3:52529353-52742182,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,32.6243,59.9965,0.878933,0.468212,0.03045,0.71837,no
19:50270224-50320633,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,7.19829,7.09353,-0.0211514,-0.0105934,0.95585,0.999983,no
12:329788-372039,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,144.401,135.471,-0.0920957,-0.0971802,0.76265,0.999983,no
X:148558520-148632055,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,42.2883,36.5373,-0.21089,-0.241051,0.57765,0.999983,no
9:33750514-33920402,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,0.247858,0.26887,0.117394,0.010472,0.92345,0.999983,no
16:3238211-3286221,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,3.45076,3.39892,-0.0218409,-0.0244209,0.95175,0.999983,no
12:6896023-6929974,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,12.0566,11.2524,-0.0995904,-0.141318,0.69755,0.999983,no
12:6976282-7032861,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,4.82096,5.81534,0.270544,0.0626582,0.5885,0.999983,no
X:100604434-100641183,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,2.83466,3.75653,0.406223,0.353722,0.2272,0.999983,no
6:26087508-26098571,AMD Peripheral RPE-Choroid,Normal Peripheral RPE-Choroid,OK,6.81921,7.49628,0.13657,0.153122,0.6709,0.999983,no
