locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
3:98433173-98620533,AMD Peripheral Retina,Normal Peripheral Retina,OK,25.5318,19.0787,-0.420331,-0.576704,0.02855,0.335161,no
18:61314812-61391127,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0,0,0,0,1,1,no
1:179262924-179327815,AMD Peripheral Retina,Normal Peripheral Retina,OK,14.9506,13.1441,-0.185787,-0.279446,0.5248,0.980745,no
12:32943678-33049774,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.88379,1.92356,-0.584185,-0.644986,0.0254,0.316128,no
1:76262566-76378923,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.241199,0.219289,-0.137392,-0.0903345,0.8227,0.999533,no
13:113760104-113774995,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.282963,0.266029,-0.0890279,-0.0665199,0.8313,0.999533,no
10:5807185-5884095,AMD Peripheral Retina,Normal Peripheral Retina,OK,65.1336,60.7712,-0.100013,-0.220145,0.5713,0.988204,no
6:106534194-106557814,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.921798,0.552157,-0.739371,-0.602832,0.04,0.3986,no
6:106632350-106773666,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.0535,11.7568,0.225798,0.371069,0.31415,0.904938,no
12:94960899-95044338,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.49628,1.22067,-0.293713,-0.283575,0.34665,0.921727,no
1:24104894-24114722,AMD Peripheral Retina,Normal Peripheral Retina,OK,34.4793,41.2059,0.25712,0.564856,0.1797,0.776694,no
2:42721708-42984087,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.1641,13.63,0.0501814,0.0670221,0.83595,0.999533,no
3:179370542-179507189,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.23718,2.98366,-0.117652,-0.155457,0.6703,0.999533,no
3:182511287-182639726,AMD Peripheral Retina,Normal Peripheral Retina,OK,31.7089,38.3616,0.274772,0.36071,0.28155,0.884344,no
1:183155372-183214035,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0824839,0.0287773,-1.51918,0,1,1,no
7:89964536-90839905,AMD Peripheral Retina,Normal Peripheral Retina,OK,29.5822,28.8885,-0.0342335,-0.0259185,0.9311,0.999533,no
3:127770483-128127485,AMD Peripheral Retina,Normal Peripheral Retina,OK,33.4123,27.8428,-0.263077,-0.480006,0.21015,0.819697,no
12:79968758-80334448,AMD Peripheral Retina,Normal Peripheral Retina,OK,26.096,29.6414,0.183783,0.212183,0.58105,0.988435,no
15:79252288-79383115,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.69926,4.22505,0.191729,0.308568,0.36375,0.930105,no
7:44256748-44374176,AMD Peripheral Retina,Normal Peripheral Retina,OK,25.4582,27.6501,0.119149,0.182646,0.6342,0.999533,no
1:17066767-17299474,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.92,25.1834,1.2055,1.28,5.00E-05,0.00446402,yes
16:22308729-22346424,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.8825,18.2288,0.617385,0.757634,0.0249,0.314763,no
1:203595688-203713209,AMD Peripheral Retina,Normal Peripheral Retina,OK,26.1802,13.8854,-0.914909,-1.47215,5.00E-05,0.00446402,yes
1:203764781-203823252,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.7599,22.453,-0.081622,-0.117818,0.73345,0.999533,no
5:96424778-96772921,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.94882,11.2561,0.178107,0.108971,0.6795,0.999533,no
1:54317391-54356407,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.5725,13.9703,0.0416735,0.0743799,0.8528,0.999533,no
1:54231132-54304533,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.93513,8.23957,0.0543146,0.0967941,0.80535,0.999533,no
3:185764096-186080026,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.50961,2.12839,-0.237703,-0.1187,0.5956,0.990436,no
16:2961937-3004277,AMD Peripheral Retina,Normal Peripheral Retina,OK,19.0123,26.4196,0.474673,0.74758,0.0389,0.391834,no
16:1401923-1464752,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.4568,7.8541,0.525392,0.275471,0.09925,0.61227,no
7:139246315-139720125,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.96313,2.43197,-0.284994,-0.0665277,0.58095,0.988403,no
7:139723543-139763521,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.12209,1.88585,-0.17027,-0.167328,0.558,0.987708,no
10:97365695-97416463,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.81848,8.07202,-0.127599,-0.197032,0.56715,0.988204,no
1:234527058-234614849,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.83098,5.97785,0.641913,0.63778,0.00945,0.18046,no
4:152591655-152682175,AMD Peripheral Retina,Normal Peripheral Retina,OK,84.1225,82.8561,-0.0218831,-0.0410013,0.92285,0.999533,no
2:70120691-70170077,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.82246,6.86678,-0.187989,-0.257344,0.4623,0.965753,no
12:96672038-96794338,AMD Peripheral Retina,Normal Peripheral Retina,OK,20.0754,18.105,-0.149042,-0.215241,0.50365,0.97674,no
9:114393631-114432526,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.31475,5.47505,0.0428706,0.0568382,0.88975,0.999533,no
12:8071825-8088871,AMD Peripheral Retina,Normal Peripheral Retina,OK,37.9519,50.1817,0.402988,0.575859,0.04275,0.411267,no
10:104162375-104182893,AMD Peripheral Retina,Normal Peripheral Retina,OK,21.203,32.845,0.631409,1.05192,0.0017,0.062605,no
18:77439800-77514510,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.48562,4.54991,0.0205286,0.0311349,0.93995,0.999533,no
12:10851682-10875911,AMD Peripheral Retina,Normal Peripheral Retina,OK,132.721,155.71,0.230469,0.425098,0.3038,0.899322,no
12:10771537-10826917,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.473102,0.462266,-0.0334276,-0.0238313,0.9302,0.999533,no
12:861758-1020618,AMD Peripheral Retina,Normal Peripheral Retina,OK,29.9025,21.375,-0.484343,-0.37742,0.0437,0.416268,no
6:50824967-50825375,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.212137,0.110133,-0.945754,-0.518566,0.23165,0.840674,no
10:70480768-70552134,AMD Peripheral Retina,Normal Peripheral Retina,OK,19.4123,22.669,0.22375,0.333423,0.25715,0.868303,no
20:61431978-61445352,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.3085,11.939,0.211851,0.391239,0.3197,0.909696,no
19:3136190-3163767,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.531255,0.346052,-0.618413,-0.496475,0.1777,0.773979,no
19:4153597-4173051,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.055237,0.0292202,-0.918672,0,1,1,no
1:27113962-27124889,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.25585,3.87396,-0.135639,-0.177124,0.61655,0.995026,no
1:29563027-29653325,AMD Peripheral Retina,Normal Peripheral Retina,OK,34.0366,50.2543,0.562157,0.963552,0.0069,0.150266,no
1:31732416-31769662,AMD Peripheral Retina,Normal Peripheral Retina,OK,22.2447,24.9349,0.164704,0.296215,0.4352,0.957252,no
12:130880681-131200826,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.49287,8.40901,0.37308,0.332787,0.39005,0.940434,no
1:103342022-103574052,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.7328,3.14563,0.202971,0.176835,0.54585,0.986824,no
11:32914723-33014862,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.9909,17.2991,-0.134611,-0.181376,0.48835,0.973762,no
6:166778406-166796486,AMD Peripheral Retina,Normal Peripheral Retina,OK,41.9433,45.2704,0.110127,0.221768,0.597,0.990436,no
3:38080695-38178733,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.56718,7.76177,0.241113,0.35257,0.3856,0.937647,no
12:24964294-25113092,AMD Peripheral Retina,Normal Peripheral Retina,OK,24.8904,25.512,0.0355866,0.0520338,0.8587,0.999533,no
12:48099867-48231681,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.22146,2.48572,0.162152,0.0950601,0.71655,0.999533,no
8:20103675-20161474,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.61719,3.27304,-0.144238,-0.23597,0.5633,0.987708,no
5:122422942-122529960,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.275876,0.217175,-0.345161,-0.116223,0.58,0.988403,no
5:137419580-137428054,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0148274,0.0412767,1.47707,0,1,1,no
20:34203813-34208971,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.68612,7.07084,0.0807131,0.0847701,0.8496,0.999533,no
2:183773842-183903586,AMD Peripheral Retina,Normal Peripheral Retina,OK,47.5369,47.6952,0.00479803,0.00928826,0.9779,0.999533,no
12:27863705-27909228,AMD Peripheral Retina,Normal Peripheral Retina,OK,25.2112,26.3906,0.0659577,0.115831,0.7683,0.999533,no
4:156680143-156728743,AMD Peripheral Retina,Normal Peripheral Retina,OK,26.3653,25.6873,-0.0375859,-0.0829343,0.84285,0.999533,no
12:132195625-132284282,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.47492,12.8017,0.776202,1.23944,0.00135,0.053111,no
3:195590234-195638816,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.79398,10.3725,0.41233,0.594333,0.06895,0.516648,no
12:62860596-62991363,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.4167,13.4701,0.37086,0.608231,0.09135,0.589705,no
16:68670091-68756519,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.68572,4.26155,-0.136895,-0.122363,0.62575,0.998173,no
X:2959511-3030767,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0365904,0.0244178,-0.583532,0,1,1,no
5:56469774-56560506,AMD Peripheral Retina,Normal Peripheral Retina,OK,62.6865,68.7238,0.132655,0.257635,0.49405,0.975008,no
11:75469499-75514460,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.752966,0.530369,-0.505588,-0.495853,0.1758,0.770777,no
19:44830707-44952766,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.54271,4.16058,-0.126771,-0.110394,0.77945,0.999533,no
12:56665482-56727837,AMD Peripheral Retina,Normal Peripheral Retina,OK,37.5126,29.8982,-0.327321,-0.427923,0.15575,0.741805,no
15:41795835-41806085,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.020632,0.039699,0.944219,0,1,1,no
7:43906156-43966010,AMD Peripheral Retina,Normal Peripheral Retina,OK,34.1758,37.9219,0.150056,0.164876,0.7051,0.999533,no
20:44994687-45087915,AMD Peripheral Retina,Normal Peripheral Retina,OK,16.1357,15.7229,-0.0373884,-0.0565256,0.87345,0.999533,no
10:88195012-88281572,AMD Peripheral Retina,Normal Peripheral Retina,OK,62.2568,100.126,0.68552,0.668035,0.03695,0.381402,no
17:57697218-57919616,AMD Peripheral Retina,Normal Peripheral Retina,OK,65.0271,71.624,0.139401,0.0744229,0.75415,0.999533,no
17:58520519-58603580,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.5659,23.4127,-0.00940896,-0.0128774,0.9639,0.999533,no
19:50887460-50934570,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.53532,6.52506,0.237325,0.290634,0.4318,0.956768,no
17:27232267-27384234,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.3892,9.32198,-0.410371,-0.385478,0.2871,0.88758,no
12:53399941-53458156,AMD Peripheral Retina,Normal Peripheral Retina,OK,107.35,128.243,0.256558,0.467987,0.174,0.767116,no
19:49792894-49828482,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.66466,0.845205,0.346685,0.222236,0.4862,0.973279,no
19:48110780-48246391,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.06419,0.706784,-0.590408,-0.204758,0.54615,0.986824,no
19:49118584-49140695,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.17736,4.15783,-0.00675971,-0.00246025,0.98785,0.999533,no
19:49118584-49140695,AMD Peripheral Retina,Normal Peripheral Retina,OK,326.217,389.871,0.257164,0.470177,0.26655,0.874702,no
19:49141198-49184461,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.9601,33.4679,0.482143,0.594836,0.05085,0.447225,no
19:55964351-55973710,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.082,9.92024,-0.0233386,-0.0378619,0.92785,0.999533,no
19:56165511-56186081,AMD Peripheral Retina,Normal Peripheral Retina,OK,30.737,38.7556,0.334428,0.605482,0.1137,0.648661,no
19:56186591-56249768,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.5304,8.53808,-0.433464,-0.796637,0.0448,0.420783,no
19:39881942-39891277,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.797,13.1462,-0.0696995,-0.129583,0.7039,0.999533,no
5:271735-438406,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.115181,0.12642,0.134313,0.013088,0.8305,0.999533,no
22:19136088-19137796,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.288645,0.154954,-0.897461,-0.737623,0.06985,0.51857,no
X:152599612-152625568,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.65296,1.96293,-0.434593,-0.728843,0.0596,0.483413,no
X:149861434-149933576,AMD Peripheral Retina,Normal Peripheral Retina,OK,17.0791,18.9169,0.147446,0.205231,0.56315,0.987708,no
2:241375087-241407493,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.00229,7.93885,-0.0114837,-0.0208608,0.95635,0.999533,no
14:78266425-78401355,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.00759,3.33583,0.149442,0.158784,0.6525,0.999533,no
16:1845620-1934295,AMD Peripheral Retina,Normal Peripheral Retina,OK,49.5292,67.0054,0.435996,0.760506,0.06005,0.485436,no
4:2420700-2734292,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.9088,19.3791,0.0354466,0.041109,0.87965,0.999533,no
2:202098165-202152434,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.68722,0.388446,-0.823056,-0.524796,0.06055,0.487199,no
4:41361623-41702061,AMD Peripheral Retina,Normal Peripheral Retina,OK,26.2872,29.8636,0.184028,0.225098,0.4135,0.950068,no
12:27058113-27091259,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.6678,10.7969,0.0173571,0.0256832,0.9358,0.999533,no
12:27124518-27167367,AMD Peripheral Retina,Normal Peripheral Retina,OK,29.5673,31.8722,0.108296,0.157114,0.686,0.999533,no
17:48067368-48072588,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0361122,0.00128417,-4.81358,0,1,1,no
11:124492731-124567414,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.48369,2.10728,-0.237106,-0.09675,0.8902,0.999533,no
11:2316874-2339430,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0732148,0.0613291,-0.255564,0,1,1,no
20:43285091-43379675,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.97823,0.10707,-3.19161,-1.24993,0.0074,0.15569,no
9:976963-991731,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0206797,0.00014962,-7.11077,0,1,1,no
3:98433173-98620533,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.04292,1.76241,-0.213085,-0.0616553,0.6569,0.999533,no
16:84402132-84500967,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.642919,0.829315,0.367283,0.191668,0.4456,0.959988,no
17:47572654-47661189,AMD Peripheral Retina,Normal Peripheral Retina,OK,66.0461,44.4055,-0.572735,-1.13388,0.0072,0.153484,no
11:125820010-125933230,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.9868,24.507,0.0309576,0.0464201,0.88675,0.999533,no
8:120743014-120845103,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.6234,11.0654,0.0588135,0.076103,0.848,0.999533,no
7:139246315-139720125,AMD Peripheral Retina,Normal Peripheral Retina,OK,24.3996,18.0359,-0.435988,-0.703366,0.08145,0.554029,no
7:128594947-128695198,AMD Peripheral Retina,Normal Peripheral Retina,OK,17.3442,19.6383,0.179214,0.385759,0.34615,0.921657,no
19:19256375-19314233,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.07515,1.54743,0.525333,0.206973,0.41515,0.950068,no
19:19256375-19314233,AMD Peripheral Retina,Normal Peripheral Retina,OK,21.2084,23.6523,0.157346,0.166887,0.69335,0.999533,no
19:19229977-19249322,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.67306,4.50532,0.294647,0.365021,0.2799,0.883836,no
19:19734476-19739739,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.887284,0.916259,0.0463591,0.0440355,0.8978,0.999533,no
20:44517263-44540794,AMD Peripheral Retina,Normal Peripheral Retina,OK,38.0691,32.931,-0.209176,-0.357571,0.3454,0.921448,no
19:19101696-19170563,AMD Peripheral Retina,Normal Peripheral Retina,OK,40.3365,49.6823,0.300645,0.486733,0.12165,0.668785,no
5:127419457-127525380,AMD Peripheral Retina,Normal Peripheral Retina,OK,21.0418,20.1231,-0.0644073,-0.110632,0.727,0.999533,no
5:122179133-122390362,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.8701,8.93161,0.182538,0.176968,0.59535,0.990436,no
20:45523262-45817492,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.6338,0.985775,-0.728902,-0.554276,0.10975,0.639394,no
19:1026297-1039068,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.4259,13.7431,0.145351,0.213615,0.59655,0.990436,no
19:1040101-1065571,AMD Peripheral Retina,Normal Peripheral Retina,OK,41.3125,85.0544,1.04181,1.27812,0.0001,0.00790686,yes
5:121646991-121814782,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.399526,0.341958,-0.224473,-0.130504,0.61655,0.995026,no
1:112025969-112310638,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.71286,6.08175,0.0902717,0.0876827,0.79225,0.999533,no
15:83509837-83772195,AMD Peripheral Retina,Normal Peripheral Retina,OK,21.6804,25.822,0.25221,0.396103,0.2765,0.881412,no
12:29302035-29534122,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.92564,3.8839,-0.0154235,-0.00862576,0.97135,0.999533,no
20:52553315-52687304,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.0994,0.194385,-2.49973,-1.92728,5.00E-05,0.00446402,yes
3:87308553-87325737,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0,0.00240924,inf,0,1,1,no
1:111729795-111786062,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.3892,1.08788,-0.35274,-0.28401,0.46915,0.968564,no
19:1107635-1174282,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.78118,2.85269,0.036628,0.034773,0.89285,0.999533,no
2:190649106-190742355,AMD Peripheral Retina,Normal Peripheral Retina,OK,23.7936,31.7809,0.417583,0.491199,0.26015,0.868303,no
19:3506270-3579086,AMD Peripheral Retina,Normal Peripheral Retina,OK,10.4854,11.1942,0.0943753,0.0919096,0.80165,0.999533,no
2:187866602-188430487,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.03504,1.03719,-0.972377,-0.608139,0.0696,0.517508,no
6:34759856-34855866,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.29835,12.5919,0.437455,0.499499,0.22435,0.833433,no
6:34857041-35059179,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.6079,13.9942,0.0403873,0.0641109,0.8544,0.999533,no
19:2100987-2248678,AMD Peripheral Retina,Normal Peripheral Retina,OK,24.379,24.228,-0.00896045,-0.0147789,0.9656,0.999533,no
6:35226685-35263762,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.92152,15.5673,0.649882,1.10151,0.00465,0.118428,no
16:2075356-2089027,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.87412,5.80412,-0.612527,-0.904871,0.03265,0.359076,no
16:2089815-2185899,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.42848,4.45153,0.00748822,0.00289731,0.99545,0.999533,no
6:34759856-34855866,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.39816,3.56999,0.0711659,0.121436,0.7765,0.999533,no
1:110091232-110136975,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.7144,11.3205,-0.049346,-0.102822,0.8036,0.999533,no
13:98605911-98676551,AMD Peripheral Retina,Normal Peripheral Retina,OK,31.5545,31.2175,-0.0154878,-0.0313827,0.926,0.999533,no
10:126085871-126107545,AMD Peripheral Retina,Normal Peripheral Retina,OK,50.4064,53.9109,0.0969716,0.213198,0.57955,0.988403,no
1:118472342-118727846,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.9211,7.83079,-0.0165426,-0.0169985,0.9673,0.999533,no
1:89003195-89301938,AMD Peripheral Retina,Normal Peripheral Retina,OK,28.5392,31.2153,0.129307,0.188608,0.6139,0.993963,no
19:983173-994569,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.2776,16.4692,0.546305,0.941727,0.01495,0.235033,no
6:52285105-52441713,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.41221,0.958022,-0.559824,-0.429709,0.2882,0.88758,no
17:8924858-9147317,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.910223,0.570054,-0.675122,-0.809192,0.0421,0.408424,no
17:9725522-9795419,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.152849,0.110684,-0.465652,-0.232424,0.48785,0.973648,no
10:13203553-13253104,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0786043,0.0847944,0.109361,0,1,1,no
12:56295196-56347811,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.81086,1.34569,-0.428335,-0.162254,0.2949,0.892558,no
12:56473640-56507691,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.35678,0.750621,-0.854029,-0.285386,0.16335,0.750128,no
3:123687367-123711025,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0161722,0.0198088,0.292629,0,1,1,no
2:197831740-198175897,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.68026,4.48968,-0.0599763,-0.0382047,0.87875,0.999533,no
16:75661621-75795770,AMD Peripheral Retina,Normal Peripheral Retina,OK,52.5173,59.2169,0.173215,0.199655,0.61175,0.993691,no
16:75562429-75657198,AMD Peripheral Retina,Normal Peripheral Retina,OK,9.5299,9.39974,-0.019841,-0.00971512,0.96935,0.999533,no
3:122785908-122992977,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.97645,9.16548,0.393719,0.280414,0.31755,0.908098,no
6:37179955-37300746,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.0924,3.27308,-0.322301,-0.510532,0.22055,0.828851,no
3:120315155-120321347,AMD Peripheral Retina,Normal Peripheral Retina,OK,93.6692,95.8602,0.0333567,0.0681693,0.86845,0.999533,no
1:16160559-16266955,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.6987,10.0106,-0.224813,-0.243201,0.56045,0.987708,no
3:123304388-123603178,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.8108,8.58089,-0.460906,-0.482144,0.06735,0.510346,no
2:187350882-187374090,AMD Peripheral Retina,Normal Peripheral Retina,OK,26.4745,32.678,0.303717,0.62755,0.1004,0.615912,no
17:11901669-12047147,AMD Peripheral Retina,Normal Peripheral Retina,OK,36.7861,40.2289,0.129073,0.153117,0.73515,0.999533,no
1:212537272-212588243,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.15094,7.03217,0.193162,0.249531,0.5219,0.980282,no
6:84262598-84419410,AMD Peripheral Retina,Normal Peripheral Retina,OK,41.2078,42.4702,0.0435315,0.0611909,0.8383,0.999533,no
10:105726958-105788991,AMD Peripheral Retina,Normal Peripheral Retina,OK,15.8318,15.7237,-0.00987743,-0.0116233,0.97095,0.999533,no
6:84569361-84677143,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.09821,8.03124,0.178168,0.155421,0.721,0.999533,no
10:105791043-105845760,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.116377,0.0889519,-0.387714,0,1,1,no
10:106028630-106064703,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.3707,8.13832,0.353279,0.330004,0.44435,0.959988,no
10:12171635-12292588,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.6566,5.91049,0.0633429,0.0424555,0.8932,0.999533,no
10:6469104-6622263,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.11371,1.89143,-0.160301,-0.22232,0.5943,0.990436,no
19:2997635-3047633,AMD Peripheral Retina,Normal Peripheral Retina,OK,4.34168,4.77343,0.136773,0.18509,0.5951,0.990436,no
2:239335382-239360891,AMD Peripheral Retina,Normal Peripheral Retina,OK,5.88764,6.46016,0.133881,0.143169,0.6778,0.999533,no
10:14560555-14816896,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.2126,10.8148,-0.0521261,-0.0764543,0.805,0.999533,no
6:83920107-84140797,AMD Peripheral Retina,Normal Peripheral Retina,OK,19.2462,14.8651,-0.372639,-0.703798,0.09035,0.587324,no
4:37892707-38140796,AMD Peripheral Retina,Normal Peripheral Retina,OK,11.2301,8.5084,-0.400415,-0.507342,0.10055,0.616057,no
7:39989635-40136733,AMD Peripheral Retina,Normal Peripheral Retina,OK,36.4463,38.7889,0.0898715,0.160707,0.69335,0.999533,no
2:74425688-74621009,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.1191,1.88258,-0.728413,-0.191525,0.31395,0.904611,no
X:46464752-46618490,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.11325,6.89752,-0.0444315,-0.0507398,0.86345,0.999533,no
12:8185298-8208099,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.44762,1.90564,-0.361106,-0.572897,0.1365,0.703133,no
1:43148097-43168020,AMD Peripheral Retina,Normal Peripheral Retina,OK,238.421,290.432,0.28469,0.630129,0.13215,0.694476,no
19:10501809-10580305,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.19285,0.893044,-0.417605,-0.199011,0.61215,0.993691,no
1:212458878-212535200,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.2791,16.0136,0.270135,0.527747,0.1772,0.772635,no
2:79384131-80875905,AMD Peripheral Retina,Normal Peripheral Retina,OK,86.4404,88.5732,0.0351648,0.0514369,0.88475,0.999533,no
19:8023462-8070543,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.1883,12.4563,0.0313818,0.0508468,0.90115,0.999533,no
1:43766663-43788779,AMD Peripheral Retina,Normal Peripheral Retina,OK,0.958112,0.532374,-0.847755,-0.649907,0.02255,0.298957,no
12:50898767-51142450,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.4393,13.823,0.0406062,0.0691481,0.83965,0.999533,no
12:50478754-50494495,AMD Peripheral Retina,Normal Peripheral Retina,OK,12.3902,9.44158,-0.392103,-0.547884,0.13195,0.694028,no
1:44115828-44396831,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.0639,13.0933,0.00323538,0.00395388,0.9906,0.999533,no
1:41156051-41237275,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.9159,20.8767,0.142294,0.243016,0.5461,0.986824,no
1:42895999-43120335,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.45786,4.45206,0.364594,0.191378,0.55225,0.986824,no
5:473350-524447,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0162957,0.0169464,0.0564833,0,1,1,no
2:233562008-233880595,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.03415,1.05198,0.0246624,0.0050624,0.96885,0.999533,no
