locus,sample_1,sample_2,status,value_1,value_2,log2(fold_change),test_stat,p_value,q_value,significant
12:5641034-6055398,AMD Peripheral Retina,Normal Peripheral Retina,OK,168.454,235.903,0.485842,0.664517,0.0382,0.389012,no
12:4596893-4647674,AMD Peripheral Retina,Normal Peripheral Retina,OK,7.49788,8.56919,0.192676,0.272707,0.3921,0.942118,no
X:17755587-17773105,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.70417,15.4213,1.20179,1.99804,5.00E-05,0.00446402,yes
X:9983601-10112518,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.52755,1.4626,-0.0626879,-0.0610569,0.8465,0.999533,no
X:11129420-11683821,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.26833,0.913892,-0.472831,-0.32242,0.4119,0.950068,no
4:17616253-17783135,AMD Peripheral Retina,Normal Peripheral Retina,OK,1.28991,0.991324,-0.379845,-0.269262,0.5176,0.979791,no
3:47892181-48130769,AMD Peripheral Retina,Normal Peripheral Retina,OK,118.781,94.037,-0.337,-0.649708,0.10895,0.636695,no
6:117609462-117923691,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.5999,9.0519,0.0738999,0.150464,0.71525,0.999533,no
6:117609462-117923691,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.00323651,0.000654163,-2.30672,0,1,1,no
11:113668595-113746292,AMD Peripheral Retina,Normal Peripheral Retina,OK,8.18927,12.1504,0.569196,0.680131,0.02005,0.279925,no
7:18126571-19042039,AMD Peripheral Retina,Normal Peripheral Retina,OK,33.0788,39.5972,0.259493,0.325937,0.38665,0.938409,no
5:176074387-176086058,AMD Peripheral Retina,Normal Peripheral Retina,OK,14.3324,20.7052,0.530714,0.981232,0.01165,0.203665,no
5:175792470-175843570,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.16625,2.3263,0.102835,0.034482,0.8913,0.999533,no
4:15471488-15603180,AMD Peripheral Retina,Normal Peripheral Retina,OK,33.7945,50.1576,0.56968,0.8188,0.03485,0.369985,no
8:103216729-103251346,AMD Peripheral Retina,Normal Peripheral Retina,OK,22.2963,24.3133,0.124944,0.195285,0.5074,0.97751,no
7:126986843-127071978,AMD Peripheral Retina,Normal Peripheral Retina,OK,50.256,39.5639,-0.34511,-0.721471,0.08105,0.553019,no
16:12021229-12070500,AMD Peripheral Retina,Normal Peripheral Retina,NOTEST,0.0272915,0.0319959,0.229435,0,1,1,no
16:12070593-12704901,AMD Peripheral Retina,Normal Peripheral Retina,OK,72.572,89.8518,0.308135,0.307014,0.50255,0.97568,no
12:16500075-16763528,AMD Peripheral Retina,Normal Peripheral Retina,OK,3.61446,2.71601,-0.412291,-0.380648,0.27035,0.876943,no
6:42174538-42185603,AMD Peripheral Retina,Normal Peripheral Retina,OK,14.0607,15.0408,0.0972106,0.197856,0.63325,0.999533,no
6:42123143-42147794,AMD Peripheral Retina,Normal Peripheral Retina,OK,566.793,793.99,0.486301,0.899058,0.0294,0.340188,no
11:77371040-77532063,AMD Peripheral Retina,Normal Peripheral Retina,OK,40.0884,37.8693,-0.0821587,-0.111491,0.73425,0.999533,no
1:12290123-12572099,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.0473,16.5829,-0.122082,-0.133021,0.5105,0.978573,no
10:11047258-11378674,AMD Peripheral Retina,Normal Peripheral Retina,OK,18.5891,16.3319,-0.186763,-0.230257,0.56595,0.988204,no
9:96208775-96328397,AMD Peripheral Retina,Normal Peripheral Retina,OK,25.466,27.0741,0.0883409,0.129713,0.75215,0.999533,no
2:136289024-136482840,AMD Peripheral Retina,Normal Peripheral Retina,OK,13.8286,12.5106,-0.1445,-0.145811,0.6815,0.999533,no
1:40766158-40783488,AMD Peripheral Retina,Normal Peripheral Retina,OK,21.0537,23.3227,0.147658,0.300873,0.4185,0.951744,no
12:88886569-88974628,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.43808,6.08688,-0.0809272,-0.112817,0.7601,0.999533,no
5:60169657-60240900,AMD Peripheral Retina,Normal Peripheral Retina,OK,6.00137,6.44343,0.102537,0.125744,0.7244,0.999533,no
5:64444562-64777747,AMD Peripheral Retina,Normal Peripheral Retina,OK,2.27264,2.27593,0.00208894,0.0022539,0.9962,0.999533,no
